Background: The following summarizes housing occupancy and allowance details for named employees, listing agency, date quarters occupied, grade, number of eligible family members (including the employee), net size of quarters, number of rooms, annual rent with currency, annual utilities expenses with currency and whether those utilities are Actual (A) or Estimated (E), and other annual allowable expenses with currency and description.

Smith, John A. is with the Department of State; date quarters occupied: 01-15-2024; grade: FS-03; number of eligible family members (include employee): 3; net size of quarters: 1,350 sq. ft.; number of rooms: 5; annual rent: USD 30,600; annual utilities expenses amount: USD 2,400; annual utilities expenses designation: A; other annual allowable expenses: USD 600 (maintenance).

Garcia, Maria L. is with USAID; date quarters occupied: 02-01-2024; grade: GS-14; number of eligible family members (include employee): 4; net size of quarters: 1,100 sq. ft.; number of rooms: 4; annual rent: USD 24,000; annual utilities expenses amount: USD 1,800; annual utilities expenses designation: E; other annual allowable expenses: USD 450 (internet).

Lee, David K. is with the Department of Defense; date quarters occupied: 03-10-2024; grade: GS-13; number of eligible family members (include employee): 2; net size of quarters: 900 sq. ft.; number of rooms: 3; annual rent: USD 15,000; annual utilities expenses amount: USD 1,200; annual utilities expenses designation: A; other annual allowable expenses: USD 300 (HOA).

O'Neill, Fiona M. is with the Department of the Treasury; date quarters occupied: 04-05-2024; grade: FS-01; number of eligible family members (include employee): 1; net size of quarters: 650 sq. ft.; number of rooms: 2; annual rent: USD 9,600; annual utilities expenses amount: USD 960; annual utilities expenses designation: E; other annual allowable expenses: USD 120 (trash).

Patel, Raj S. is with the Department of Homeland Security; date quarters occupied: 05-20-2024; grade: GS-15; number of eligible family members (include employee): 5; net size of quarters: 2,100 sq. ft.; number of rooms: 6; annual rent: USD 45,000; annual utilities expenses amount: USD 5,400; annual utilities expenses designation: A; other annual allowable expenses: USD 1,200 (security).

Müller, Anna B. is with the Environmental Protection Agency; date quarters occupied: 06-01-2024; grade: GS-12; number of eligible family members (include employee): 2; net size of quarters: 850 sq. ft.; number of rooms: 3; annual rent: EUR 18,000; annual utilities expenses amount: EUR 1,500; annual utilities expenses designation: A; other annual allowable expenses: EUR 200 (recycling fees).

Chen, Li Q. is with Health and Human Services; date quarters occupied: 07-11-2024; grade: GS-11; number of eligible family members (include employee): 3; net size of quarters: 1,050 sq. ft.; number of rooms: 4; annual rent: USD 20,400; annual utilities expenses amount: USD 1,600; annual utilities expenses designation: E; other annual allowable expenses: USD 400 (laundry).

Johnson, Emily R. is with NASA; date quarters occupied: 08-15-2024; grade: GS-14; number of eligible family members (include employee): 2; net size of quarters: 980 sq. ft.; number of rooms: 3; annual rent: USD 18,000; annual utilities expenses amount: USD 1,440; annual utilities expenses designation: A; other annual allowable expenses: USD 0.

Brown, Michael T. is with the United States Department of Agriculture; date quarters occupied: 09-03-2024; grade: GS-09; number of eligible family members (include employee): 4; net size of quarters: 1,400 sq. ft.; number of rooms: 5; annual rent: USD 22,800; annual utilities expenses amount: USD 2,100; annual utilities expenses designation: E; other annual allowable expenses: USD 350 (garden).

Nguyen, Thao P. is with the Department of Justice; date quarters occupied: 10-10-2024; grade: FS-02; number of eligible family members (include employee): 1; net size of quarters: 720 sq. ft.; number of rooms: 2; annual rent: USD 11,400; annual utilities expenses amount: USD 900; annual utilities expenses designation: A; other annual allowable expenses: USD 150 (phone).

Rossi, Luca G. is with the Department of State (Embassy - Rome); date quarters occupied: 11-01-2024; grade: FS-04; number of eligible family members (include employee): 3; net size of quarters: 110 sq. m.; number of rooms: 5; annual rent: EUR 28,800; annual utilities expenses amount: EUR 2,400; annual utilities expenses designation: A; other annual allowable expenses: EUR 600 (condominium fees).

Silva, Camila R. is with the Department of Commerce; date quarters occupied: 12-05-2024; grade: GS-13; number of eligible family members (include employee): 2; net size of quarters: 1,000 sq. ft.; number of rooms: 4; annual rent: USD 19,200; annual utilities expenses amount: USD 1,680; annual utilities expenses designation: E; other annual allowable expenses: USD 250 (internet).
