Background/context: This transmittal originates from Facility Identification Number (Non-State Only) FSN-98765 at U.S. Consulate General London and is dated 05-17-2026. The Routine processing option is selected (Expedite is not selected). The document is Form 1 of 1. The Name of Acceptance Agent (AA) (Non-State Only) is Jane R. Miller, telephone number +44-20-7000-0000, and email address aa.london@state.gov.

Applicant entries follow, with each entry showing Entry Number, Applicant's Name (Please Print or Type), Date of Birth (mm-dd-yyyy), Diplomatic, Official, Service, No-Fee Regular, Tourist DoD/FED (Exception), DD Form 1056 Included, Authorization Memo Included, *Travel Authorization, and Request for PPT Service DS-1640:

Entry 1: Applicant's Name Smith, Alice; Date of Birth 08-12-1985; Diplomatic: Yes; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260510-01; Request for PPT Service DS-1640: Yes.

Entry 2: Applicant's Name Johnson, Robert; Date of Birth 02-03-1978; Diplomatic: Yes; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260510-02; Request for PPT Service DS-1640: Yes.

Entry 3: Applicant's Name Gonzalez, Maria; Date of Birth 11-29-1990; Diplomatic: Yes; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260510-03; Request for PPT Service DS-1640: Yes.

Entry 4: Applicant's Name Chen, David; Date of Birth 06-15-1982; Diplomatic: Yes; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260510-04; Request for PPT Service DS-1640: Yes.

Entry 5: Applicant's Name Brown, Linda; Date of Birth 01-22-1975; Diplomatic: Yes; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260510-05; Request for PPT Service DS-1640: Yes.

Entry 6: Applicant's Name Thompson, Michael; Date of Birth 03-09-1988; Diplomatic: No; Official: Yes; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260511-01; Request for PPT Service DS-1640: Yes.

Entry 7: Applicant's Name Davis, Emily; Date of Birth 12-05-1992; Diplomatic: No; Official: Yes; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260511-02; Request for PPT Service DS-1640: Yes.

Entry 8: Applicant's Name Lee, Christopher; Date of Birth 07-30-1979; Diplomatic: No; Official: Yes; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260511-03; Request for PPT Service DS-1640: Yes.

Entry 9: Applicant's Name Wilson, Patricia; Date of Birth 04-14-1980; Diplomatic: No; Official: Yes; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260511-04; Request for PPT Service DS-1640: Yes.

Entry 10: Applicant's Name Martinez, Daniel; Date of Birth 10-26-1986; Diplomatic: No; Official: Yes; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: Yes; *Travel Authorization: TA-20260511-05; Request for PPT Service DS-1640: Yes.

Entry 11: Applicant's Name Garcia, Laura; Date of Birth 09-08-1991; Diplomatic: No; Official: No; Service: Yes; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: TA-20260512-01; Request for PPT Service DS-1640: Yes.

Entry 12: Applicant's Name Anderson, Kevin; Date of Birth 05-20-1974; Diplomatic: No; Official: No; Service: Yes; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: TA-20260512-02; Request for PPT Service DS-1640: Yes.

Entry 13: Applicant's Name Robinson, Sarah; Date of Birth 11-11-1993; Diplomatic: No; Official: No; Service: Yes; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: TA-20260512-03; Request for PPT Service DS-1640: Yes.

Entry 14: Applicant's Name Walker, Anthony; Date of Birth 02-28-1983; Diplomatic: No; Official: No; Service: Yes; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: TA-20260512-04; Request for PPT Service DS-1640: Yes.

Entry 15: Applicant's Name Young, Olivia; Date of Birth 08-03-1996; Diplomatic: No; Official: No; Service: Yes; No-Fee Regular: No; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: TA-20260512-05; Request for PPT Service DS-1640: Yes.

Entry 16: Applicant's Name King, Benjamin; Date of Birth 03-17-2000; Diplomatic: No; Official: No; Service: No; No-Fee Regular: Yes; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: N/A; Request for PPT Service DS-1640: Yes.

Entry 17: Applicant's Name Wright, Sophia; Date of Birth 06-21-2002; Diplomatic: No; Official: No; Service: No; No-Fee Regular: Yes; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: N/A; Request for PPT Service DS-1640: Yes.

Entry 18: Applicant's Name Hall, Joshua; Date of Birth 12-12-1999; Diplomatic: No; Official: No; Service: No; No-Fee Regular: Yes; Tourist DoD/FED (Exception): No; DD Form 1056 Included: No; Authorization Memo Included: No; *Travel Authorization: N/A; Request for PPT Service DS-1640: Yes.

Entry 19: Applicant's Name Allen, Megan; Date of Birth 05-05-1994; Diplomatic: No; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): Yes; DD Form 1056 Included: Yes; Authorization Memo Included: No; *Travel Authorization: TA-20260513-01; Request for PPT Service DS-1640: Yes.

Entry 20: Applicant's Name Scott, Brandon; Date of Birth 07-07-1995; Diplomatic: No; Official: No; Service: No; No-Fee Regular: No; Tourist DoD/FED (Exception): Yes; DD Form 1056 Included: Yes; Authorization Memo Included: No; *Travel Authorization: TA-20260513-02; Request for PPT Service DS-1640: Yes.
