This timesheet is for Employee: Alex Johnson · Year: 2026. Hourly Rate: $18.50. Total Hours: 165. Supervisor: Maria Lopez.

Column headings are Day; Shift 1 (In, Out); Break (In, Out); Shift 2 (In, Out); Total Hours (Reg, OT); Total Pay (Amount).

Day 1: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 2: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 3: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 4: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 5: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 6: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 7: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 8: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 9: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 10: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 11: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 12: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 13: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 14: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 15: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 16: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 17: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 18: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 19: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 20: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 21: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 22: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 23: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 24: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 25: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 26: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 27: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 28: Shift 1 In - Out -; Break In - Out -; Shift 2 In - Out -; Total Hours Reg 0 OT 0; Amount $0.00.
Day 29: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.
Day 30: Shift 1 In 09:00 Out 17:00; Break In 12:00 Out 12:30; Shift 2 In - Out -; Total Hours Reg 7.5 OT 0; Amount $138.75.

Total(s): 165 (Reg), 0 (OT), $3,052.50.

Prepared by: Maria Lopez. Approved: Yes. Date: 2026-05-31. Department: Operations. Notes: N/A. Signature: AJ.
